p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.43271518348e-08	3.33281980136e-06	GO:0007276	b	3	gamete generation	1618; 2661; 494551; 135935; 5997; 9210; 9232; 10017; 10927; 80336; 148327; 55905; 91646	BCL2L10; GDF9; NOBOX; PABPC1L; RGS2; CREB3L4; RNF114; BMP15; PTTG1; TDRD12; WEE2; SPIN1; DAZL	616	615
3.48464794521e-08	6.09813390412e-06	GO:0007292	b	4	female gamete generation	1618; 2661; 494551; 135935; 9210; 10017; 80336	GDF9; BCL2L10; PABPC1L; BMP15; WEE2; DAZL; NOBOX	109	109
3.66152487869e-08	1.29942637439e-06	GO:0048609	b	2	multicellular organismal reproductive process	1618; 2661; 494551; 135935; 5997; 7042; 9210; 9232; 10017; 10927; 80336; 148327; 55905; 91646	GDF9; NOBOX; PABPC1L; BCL2L10; BMP15; CREB3L4; TGFB2; RNF114; RGS2; PTTG1; TDRD12; WEE2; SPIN1; DAZL	762	761
5.30378111995e-08	1.29942637439e-06	GO:0032504	b	2	multicellular organism reproduction	1618; 2661; 494551; 135935; 5997; 7042; 9210; 9232; 10017; 10927; 80336; 148327; 55905; 91646	GDF9; NOBOX; PABPC1L; BCL2L10; BMP15; CREB3L4; TGFB2; RNF114; RGS2; PTTG1; TDRD12; WEE2; SPIN1; DAZL	785	784
2.79889608647e-07	4.57153027457e-06	GO:0019953	b	2	sexual reproduction	1618; 2661; 494551; 135935; 5997; 9210; 9232; 10017; 10927; 80336; 148327; 55905; 91646	BCL2L10; GDF9; NOBOX; PABPC1L; RGS2; CREB3L4; RNF114; BMP15; PTTG1; TDRD12; WEE2; SPIN1; DAZL	760	759
4.78652250361e-07	5.86349006692e-06	GO:0044702	b	2	single organism reproductive process	841; 1618; 2661; 494551; 135935; 5997; 7042; 9210; 9232; 10017; 10927; 80336; 148327; 55905; 91646	GDF9; NOBOX; PABPC1L; BCL2L10; BMP15; CREB3L4; TGFB2; CASP8; RNF114; RGS2; PTTG1; TDRD12; WEE2; SPIN1; DAZL	1091	1090
2.67878022272e-06	2.62520461827e-05	GO:0044703	b	2	multi-organism reproductive process	1618; 2661; 494551; 135935; 5997; 9210; 9232; 10017; 10927; 80336; 148327; 55905; 91646	BCL2L10; GDF9; NOBOX; PABPC1L; RGS2; CREB3L4; RNF114; BMP15; PTTG1; TDRD12; WEE2; SPIN1; DAZL	930	928
2.78168470695e-06	0.000243397411858	GO:0048477	b	4	oogenesis	1618; 2661; 494551; 135935; 80336	WEE2; GDF9; NOBOX; PABPC1L; DAZL	74	74
7.46035765656e-06	0.000435187529966	GO:0048599	b	4	oocyte development	1618; 2661; 494551; 80336	WEE2; GDF9; PABPC1L; DAZL	42	42
9.86469971008e-06	0.00067573193014	GO:0009994	b	3	oocyte differentiation	1618; 2661; 494551; 80336	WEE2; GDF9; PABPC1L; DAZL	45	45
