"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
"sscortex" 0.082148958765115 0.000531155390941416 0.844944444826913 2.14185969046269e-05 0.0711612523569003 2.90231419971523e-05 5.38091880564768e-05 0.00104765250522795 3.93159633762267e-05 2.29692645676073e-05
"sscortex.1" 0.0549816700580959 0.0490109752522749 0.81717982278248 1.4601384157917e-05 0.0778068085769139 1.57557030629513e-05 5.32556049245128e-05 0.000899721769852525 2.27808905412168e-05 1.46079776960943e-05
"sscortex.2" 0.108031761606094 0.0185380503260481 0.802016005972418 0.000105903891021996 0.0708210670529518 5.22823077889461e-05 2.98744705463549e-05 0.00031370441195464 8.02044733407221e-05 1.11454878354463e-05
"sscortex.3" 0.0622368437492932 0.0171807884484825 0.852956292085188 1.18193123574234e-05 0.0673959260143085 1.17731392672497e-05 5.13401416212005e-05 0.000124546469801674 2.03553313809308e-05 1.03153082990574e-05
"sscortex.4" 0.183744370261308 0.000440077564915466 0.796634950281855 4.38928649649445e-05 0.0174871435297838 0.00145355513211208 3.4090567709259e-05 9.39739661826921e-05 5.16753790828787e-05 1.62704520854353e-05
"sscortex.5" 0.155239089330291 5.97182153970137e-05 0.803504128020327 1.43592036354263e-05 0.0404982090788973 1.94506762504312e-05 0.000552722602931973 5.81377547048842e-05 4.12681551459944e-05 1.29169624195303e-05
"sscortex.6" 0.197552375484187 2.955400860154e-05 0.754705259689507 4.07119784058371e-05 0.0465364429349203 2.66876980394635e-05 4.11781585789501e-05 0.000494719437786325 0.000562449217875111 1.06213920983974e-05
"ca1hippocampus" 0.26108786760529 0.000107158668188106 0.727614108985014 3.55683267395912e-05 0.00783652017758111 3.27090641679603e-05 0.00287772533582597 6.69801534419926e-05 0.000314389234109517 2.69724496409704e-05
"sscortex.7" 0.154466740613824 0.0372083884389897 0.773264821220971 0.000736819036310936 0.0297212924807944 3.49863181067743e-05 8.75712805532771e-05 0.00426070160282316 0.000182417012685712 3.62619949414406e-05
"sscortex.8" 0.0899490691970056 0.0610531961718444 0.817292476560813 3.92032106305608e-05 0.0304174252235896 1.89776556616848e-05 7.04850368820073e-05 5.09076405721916e-05 0.00109433469553996 1.39246074605426e-05
"sscortex.9" 0.0822569001749038 0.101021187929857 0.723831844479877 2.85304263512667e-05 0.0907734001507164 3.24767576470639e-05 0.000118792423767325 0.00181583668685175 0.000101908594454773 1.91223755736652e-05
"sscortex.10" 0.103643293528512 0.103564049029667 0.744680826521402 5.03707141921722e-05 0.047564643573207 2.06614814464712e-05 5.14493535228813e-05 1.43891592077166e-05 0.000401658135006875 8.65850383525839e-06
"sscortex.11" 0.345777863040501 0.000404511253611395 0.585404229997179 0.000123609214274489 0.0678573312807848 9.87916525282215e-06 0.00026203417499856 0.000112040777127564 1.76353742123188e-05 3.08657220580805e-05
"ca1hippocampus.1" 0.0890324874799579 0.0137254260637891 0.864638018451762 3.13349391591076e-05 0.0323005732344481 2.16459585012795e-05 4.70849773761372e-05 4.01161554199856e-05 0.000139260076015505 2.40526635709802e-05
"sscortex.12" 0.113608351035885 1.9293982506275e-05 0.853173657311091 1.27242026809771e-05 0.032872102294247 3.49127279889274e-05 1.14850483151853e-05 1.18477585557654e-05 0.000248545420685878 7.08021804430521e-06
"sscortex.13" 0.147924903765298 0.00320679509200893 0.821272684122158 2.82686094090921e-05 0.0273626573661566 0.000152373363058905 1.17029068508946e-05 1.10616191648381e-05 2.33022403859031e-05 6.2509155096194e-06
