p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
3.97328113438e-05	0.00131118277435	GO:0005089	m	4	Rho guanyl-nucleotide exchange factor activity	7074; 55160; 23263; 57449; 57679	ENSG00000003393; ENSG00000171680; ENSG00000074964; ENSG00000126217; ENSG00000156299	77	77
0.00014450078966	0.0209526145007	GO:0006287	b	5	base-excision repair, gap-filling	5423; 5426	ENSG00000070501; ENSG00000177084	4	4
0.000266748667714	0.00266748667714	GO:0016604	c	5	nuclear body	6430; 6497; 6625; 11273; 51747; 23524; 25957; 81669	ENSG00000132424; ENSG00000104852; ENSG00000108848; ENSG00000221978; ENSG00000167978; ENSG00000100650; ENSG00000157933; ENSG00000168488	338	337
0.000333262925275	0.0241615620824	GO:0022008	b	5	neurogenesis	286; 1291; 3983; 4784; 6497; 7074; 9315; 10472; 10500; 10893; 51332; 79791; 53616; 153090; 23654; 57679; 266727; 55636	ENSG00000103264; ENSG00000137877; ENSG00000029534; ENSG00000179456; ENSG00000156299; ENSG00000142156; ENSG00000003393; ENSG00000136848; ENSG00000143434; ENSG00000008441; ENSG00000196576; ENSG00000099204; ENSG00000008277; ENSG00000112139; ENSG00000171316; ENSG00000125966; ENSG00000157933; ENSG00000134986	1494	1493
0.000421045039799	0.0159997115124	GO:0005088	m	3	Ras guanyl-nucleotide exchange factor activity	7074; 55160; 23263; 57449; 57679	ENSG00000003393; ENSG00000171680; ENSG00000074964; ENSG00000126217; ENSG00000156299	127	127
0.00050599404532	0.0880429638858	GO:0035239	b	3	tube morphogenesis	3911; 5310; 6497; 9645; 153090; 23654; 55636; 26249	ENSG00000146021; ENSG00000133816; ENSG00000130702; ENSG00000136848; ENSG00000008710; ENSG00000196576; ENSG00000157933; ENSG00000171316	371	371
0.00112687275449	0.0544655164672	GO:0000079	b	5	regulation of cyclin-dependent protein serine/threonine kinase activity	5310; 79791; 153090; 81669	ENSG00000103264; ENSG00000008710; ENSG00000136848; ENSG00000221978	92	92
0.00119578984563	0.132228606289	GO:0007269	b	4	neurotransmitter secretion	8497; 9379; 114088; 84958; 93664	ENSG00000142765; ENSG00000110076; ENSG00000100505; ENSG00000081803; ENSG00000143847	161	160
0.00154899326414	0.0173350241843	GO:0071949	m	5	FAD binding	9645; 57553	ENSG00000243156; ENSG00000133816	12	12
0.00182473938782	0.0173350241843	GO:0030676	m	5	Rac guanyl-nucleotide exchange factor activity	7074; 57679	ENSG00000003393; ENSG00000156299	13	13
0.00221059826758	0.042001367084	GO:0050839	m	3	cell adhesion molecule binding	3911; 9379; 11188; 53616; 10893	ENSG00000010322; ENSG00000130702; ENSG00000008277; ENSG00000110076; ENSG00000125966	184	184
0.00222134711433	0.132228606289	GO:0007010	b	4	cytoskeleton organization	286; 3911; 3983; 5310; 9379; 9645; 11188; 51332; 51474; 84809; 55160; 23353; 57553	ENSG00000010322; ENSG00000243156; ENSG00000029534; ENSG00000050405; ENSG00000164828; ENSG00000133816; ENSG00000130702; ENSG00000074964; ENSG00000137877; ENSG00000008710; ENSG00000110076; ENSG00000215908; ENSG00000099204	1068	1066
0.00244061005838	0.132228606289	GO:0043584	b	4	nose development	6497; 55636	ENSG00000157933; ENSG00000171316	15	15
0.00244061005838	0.0122030502919	GO:0005685	c	5	U1 snRNP	6625; 51747	ENSG00000104852; ENSG00000108848	15	15
0.00271805570821	0.065233336997	GO:0005085	m	2	guanyl-nucleotide exchange factor activity	7074; 55160; 23263; 57449; 57679	ENSG00000003393; ENSG00000171680; ENSG00000074964; ENSG00000126217; ENSG00000156299	193	193
0.0028514706452	0.0810985935624	GO:0061564	b	5	axon development	286; 1291; 3983; 7074; 9315; 10500; 51332; 23654; 57679	ENSG00000003393; ENSG00000029534; ENSG00000156299; ENSG00000137877; ENSG00000143434; ENSG00000142156; ENSG00000196576; ENSG00000134986; ENSG00000099204	600	599
