p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.8640648109e-10	1.17426657247e-08	GO:0044428	c	3	nuclear part	65986; 54801; 134430; 4678; 4771; 4801; 5049; 5209; 5580; 5903; 5917; 5927; 6314; 6599; 6621; 7514; 7709; 9585; 9774; 9816; 10073; 10293; 10459; 10482; 10569; 10969; 24144; 51575; 51340; 51366; 51728; 54468; 54476; 55127; 55625; 23082; 23160; 56259; 57062; 25929; 27348; 10062; 29127; 30836; 388403; 64425; 64785	MAD2L2; SMARCC1; PPRC1; SLU7; NFYB; TOR1B; MIOS; NR1H3; POLR3K; XPO1; DNTTIP2; ZBTB10; ZBTB17; TFIP11; HAUS6; BCLAF1; CRNKL1; RARS; NF2; CTNNBL1; URB2; RANBP2; ESF1; NXF1; HEATR1; SNUPN; PRKCD; WDR43; SNAPC4; EBNA1BP2; UBR5; PAFAH1B2; GINS3; NASP; ZDHHC7; DDX24; PFKFB3; YPEL2; TRAIP; GEMIN5; RACGAP1; WDR36; ATXN7; RNF216; KIF20B; KDM5A; POLR1E	3797	3347
6.88090420813e-10	3.16521593574e-08	GO:0031981	c	4	nuclear lumen	65986; 134430; 4678; 4771; 4801; 5049; 5209; 5580; 5917; 5927; 6314; 6599; 6621; 7514; 7709; 9585; 9774; 9816; 10293; 10459; 10482; 10569; 10969; 51575; 51340; 51366; 51728; 24144; 54468; 54476; 54801; 55127; 55625; 23082; 23160; 56259; 57062; 25929; 10062; 29127; 30836; 388403; 64425; 64785	MAD2L2; SMARCC1; PPRC1; SLU7; NFYB; POLR1E; MIOS; POLR3K; XPO1; DNTTIP2; ZBTB10; ZBTB17; TFIP11; HAUS6; BCLAF1; CRNKL1; RARS; NF2; CTNNBL1; URB2; NR1H3; ESF1; NXF1; HEATR1; PRKCD; WDR43; SNAPC4; EBNA1BP2; UBR5; PAFAH1B2; GINS3; NASP; ZDHHC7; DDX24; PFKFB3; YPEL2; TRAIP; GEMIN5; RACGAP1; WDR36; ATXN7; RNF216; KIF20B; KDM5A	3444	3042
4.4299059526e-09	9.08130720283e-08	GO:0070013	c	3	intracellular organelle lumen	65986; 54801; 1514; 134430; 4678; 4771; 4801; 5049; 5209; 5442; 5580; 5917; 5927; 6314; 6599; 6621; 7514; 7709; 9585; 9774; 9816; 10293; 10459; 10482; 10569; 10969; 24144; 51575; 51340; 51366; 51728; 54468; 54476; 55127; 55625; 23082; 23160; 56259; 57062; 25929; 27348; 10062; 29127; 30836; 388403; 64425; 64785	MAD2L2; SMARCC1; PPRC1; SLU7; NFYB; POLR1E; MIOS; POLR3K; XPO1; DNTTIP2; ZBTB10; ZBTB17; TFIP11; HAUS6; BCLAF1; CRNKL1; RARS; NF2; CTNNBL1; URB2; NR1H3; ESF1; CTSL; NXF1; HEATR1; TOR1B; PRKCD; WDR43; SNAPC4; EBNA1BP2; UBR5; PAFAH1B2; GINS3; NASP; ZDHHC7; DDX24; PFKFB3; YPEL2; TRAIP; GEMIN5; RACGAP1; WDR36; POLRMT; ATXN7; RNF216; KIF20B; KDM5A	4084	3617
7.1865749987e-09	2.51530124955e-07	GO:0043233	c	2	organelle lumen	65986; 54801; 1514; 134430; 4678; 4771; 4801; 5049; 5209; 5442; 5580; 5917; 5927; 6314; 6599; 6621; 7514; 7709; 9585; 9774; 9816; 56259; 10293; 10459; 10482; 10569; 10969; 24144; 51575; 51340; 51366; 51728; 54468; 54476; 55127; 55625; 23082; 23160; 57062; 25929; 27348; 10062; 29127; 30836; 388403; 64425; 64785	MAD2L2; SMARCC1; PPRC1; SLU7; NFYB; POLR1E; MIOS; POLR3K; XPO1; DNTTIP2; ZBTB10; ZBTB17; TFIP11; HAUS6; BCLAF1; CRNKL1; RARS; NF2; CTNNBL1; URB2; NR1H3; ESF1; CTSL; NXF1; HEATR1; TOR1B; PRKCD; WDR43; SNAPC4; EBNA1BP2; UBR5; PAFAH1B2; GINS3; NASP; ZDHHC7; DDX24; PFKFB3; YPEL2; TRAIP; GEMIN5; RACGAP1; WDR36; POLRMT; ATXN7; RNF216; KIF20B; KDM5A	4140	3668
2.18972005389e-08	5.03635612394e-07	GO:0005730	c	4	nucleolus	134430; 4771; 5049; 5927; 6314; 7514; 9585; 9774; 9816; 10293; 10969; 51575; 51728; 55127; 55625; 23160; 57062; 30836; 388403; 64425	XPO1; DNTTIP2; ESF1; WDR43; ZDHHC7; HEATR1; POLR1E; DDX24; POLR3K; BCLAF1; TRAIP; WDR36; NF2; EBNA1BP2; URB2; ATXN7; YPEL2; KIF20B; KDM5A; PAFAH1B2	873	778
2.36361708986e-07	3.62421287112e-06	GO:0005634	c	4	nucleus	65986; 1062; 1514; 134430; 4678; 4771; 4801; 5049; 5209; 5580; 5903; 5917; 5927; 6314; 6599; 6621; 7514; 7709; 121599; 9585; 9669; 9774; 9816; 10073; 10293; 10318; 10459; 10482; 10569; 10724; 10969; 51575; 80271; 51340; 51366; 51728; 24144; 54468; 54476; 54801; 55127; 55625; 23082; 23160; 56259; 57062; 25929; 27348; 10062; 28987; 29127; 30836; 388403; 64425; 64785; 27285	MAD2L2; SMARCC1; PPRC1; SLU7; NFYB; TOR1B; MIOS; NR1H3; EIF5B; POLR3K; XPO1; CTNNBL1; DNTTIP2; ZBTB10; ZBTB17; NOB1; TFIP11; HAUS6; TEKT2; BCLAF1; CRNKL1; RARS; NF2; ITPKC; URB2; MGEA5; RANBP2; ESF1; CTSL; NXF1; HEATR1; CENPE; SNUPN; PRKCD; SPIC; TNIP1; SNAPC4; EBNA1BP2; UBR5; PAFAH1B2; GINS3; NASP; WDR43; ZDHHC7; DDX24; PFKFB3; YPEL2; TRAIP; GEMIN5; RACGAP1; WDR36; ATXN7; RNF216; KIF20B; KDM5A; POLR1E	6774	5438
1.68523414074e-06	2.94915974629e-05	GO:0044446	c	2	intracellular organelle part	65986; 1062; 54801; 1514; 134430; 3920; 4678; 4771; 4801; 5049; 5209; 5442; 5580; 5903; 5917; 5927; 6253; 6314; 6599; 6621; 23032; 7514; 7709; 9585; 9718; 9774; 9816; 56259; 9903; 10018; 10073; 10293; 10459; 10482; 10569; 10969; 24144; 51575; 81490; 51340; 51366; 51728; 54468; 54476; 55127; 55186; 55625; 285195; 23082; 23160; 57062; 25929; 124997; 27348; 10062; 29127; 29881; 30836; 388403; 64425; 64785; 27285	MAD2L2; PTDSS2; SMARCC1; KLHL21; TOR1B; PPRC1; SLU7; NFYB; SLC25A36; ECE2; MIOS; NR1H3; POLR3K; XPO1; DNTTIP2; ZBTB10; ZBTB17; TFIP11; HAUS6; TEKT2; BCLAF1; CRNKL1; RARS; NF2; CTNNBL1; URB2; RANBP2; POLR1E; ESF1; CTSL; NXF1; HEATR1; CENPE; SNUPN; NPC1L1; PRKCD; RTN2; RACGAP1; WDR43; LAMP2; SNAPC4; BCL2L11; USP33; EBNA1BP2; UBR5; PAFAH1B2; GINS3; NASP; ZDHHC7; DDX24; PFKFB3; YPEL2; TRAIP; GEMIN5; SLC9A9; WDR36; POLRMT; ATXN7; RNF216; KIF20B; KDM5A; WDR81	7807	6744
3.68854779459e-06	4.24182996378e-05	GO:0005654	c	4	nucleoplasm	65986; 4678; 4801; 5209; 5580; 5917; 5927; 6314; 6599; 6621; 7514; 7709; 9585; 9774; 10459; 10482; 10569; 51575; 51340; 51366; 51728; 24144; 54468; 54476; 54801; 55625; 23082; 56259; 25929; 10062; 29127; 64425; 64785	MAD2L2; SMARCC1; PPRC1; SLU7; NFYB; POLR1E; MIOS; POLR3K; XPO1; ZBTB10; ZBTB17; HAUS6; BCLAF1; RARS; CTNNBL1; NR1H3; ESF1; NXF1; PRKCD; SNAPC4; CRNKL1; UBR5; GINS3; NASP; ZDHHC7; PFKFB3; TFIP11; GEMIN5; RACGAP1; ATXN7; RNF216; KIF20B; KDM5A	2838	2526
5.31963552833e-06	0.000170228336906	GO:0003723	m	4	RNA binding	1662; 1977; 134430; 5442; 5903; 5917; 7514; 9669; 9774; 10073; 10482; 10569; 10969; 51575; 51340; 51366; 55127; 23082; 23160; 57062; 25929; 8663; 30836	PPRC1; EIF5B; XPO1; DNTTIP2; WDR43; DDX10; EIF3C; BCLAF1; EBNA1BP2; RARS; RANBP2; ESF1; NXF1; HEATR1; SNUPN; EIF4E; CRNKL1; UBR5; DDX24; SLU7; GEMIN5; WDR36; POLRMT	1597	1405
8.64323428265e-06	0.000319799668458	GO:0003676	m	3	nucleic acid binding	65986; 1662; 1977; 134430; 4801; 5442; 5903; 5917; 5927; 6599; 6621; 6654; 7514; 7709; 121599; 9669; 9774; 10073; 10482; 10569; 10969; 24144; 51575; 51078; 51340; 51366; 51728; 55127; 23082; 23160; 57062; 25929; 10062; 8663; 30836; 64425	SMARCC1; PPRC1; SLU7; NFYB; POLR1E; EIF5B; POLR3K; XPO1; DNTTIP2; ZBTB10; ZBTB17; DDX10; EIF3C; BCLAF1; CRNKL1; RARS; RANBP2; ESF1; NXF1; HEATR1; SNUPN; SPIC; WDR43; SNAPC4; EIF4E; EBNA1BP2; UBR5; THAP4; SOS1; DDX24; TFIP11; GEMIN5; WDR36; POLRMT; NR1H3; KDM5A	3996	3014
