p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.23186314464e-10	8.92745257855e-09	GO:0005615	c	2	extracellular space	2; 21; 177; 659; 1440; 1512; 2921; 3082; 3383; 3601; 3976; 4060; 4481; 5420; 5768; 6347; 6376; 6439; 6440; 7127; 729238; 8547; 9476; 7035; 650; 92304; 653509	ENSG00000175899; ENSG00000139329; ENSG00000163734; ENSG00000185303; ENSG00000167972; ENSG00000103811; ENSG00000108691; ENSG00000019991; ENSG00000006210; ENSG00000185215; ENSG00000134470; ENSG00000168878; ENSG00000038945; ENSG00000131400; ENSG00000204305; ENSG00000090339; ENSG00000116260; ENSG00000122852; ENSG00000108342; ENSG00000128342; ENSG00000125845; ENSG00000128567; ENSG00000142748; ENSG00000161055; ENSG00000168484; ENSG00000003436; ENSG00000204217	1338	1327
2.49707514536e-10	5.79321433723e-08	GO:0001525	b	3	angiogenesis	94; 1512; 5743; 5787; 2013; 2034; 3082; 3976; 6347; 6376; 7127; 10203; 10268; 54922; 55273; 28984	ENSG00000108691; ENSG00000166292; ENSG00000019991; ENSG00000064989; ENSG00000006210; ENSG00000185215; ENSG00000127329; ENSG00000213853; ENSG00000102760; ENSG00000116016; ENSG00000139567; ENSG00000073756; ENSG00000103811; ENSG00000122679; ENSG00000128342; ENSG00000105538	414	413
6.19749030551e-10	2.2558864712e-07	GO:0001944	b	4	vasculature development	94; 659; 1512; 5743; 5787; 2013; 2034; 3082; 3976; 6347; 6376; 7127; 10203; 10268; 79652; 54922; 55273; 28984	ENSG00000108691; ENSG00000166292; ENSG00000131634; ENSG00000019991; ENSG00000064989; ENSG00000006210; ENSG00000185215; ENSG00000127329; ENSG00000213853; ENSG00000102760; ENSG00000116016; ENSG00000139567; ENSG00000073756; ENSG00000103811; ENSG00000122679; ENSG00000128342; ENSG00000204217; ENSG00000105538	582	581
2.61104996326e-09	2.42513950152e-07	GO:0001568	b	3	blood vessel development	94; 659; 1512; 5743; 5787; 2013; 2034; 3082; 3976; 6347; 6376; 7127; 10203; 10268; 54922; 55273; 28984	ENSG00000108691; ENSG00000166292; ENSG00000019991; ENSG00000064989; ENSG00000006210; ENSG00000185215; ENSG00000127329; ENSG00000213853; ENSG00000102760; ENSG00000116016; ENSG00000139567; ENSG00000073756; ENSG00000103811; ENSG00000122679; ENSG00000128342; ENSG00000204217; ENSG00000105538	560	559
3.13595625196e-09	2.42513950152e-07	GO:0048514	b	3	blood vessel morphogenesis	94; 1512; 5743; 5787; 2013; 2034; 3082; 3976; 6347; 6376; 7127; 10203; 10268; 54922; 55273; 28984	ENSG00000108691; ENSG00000166292; ENSG00000019991; ENSG00000064989; ENSG00000006210; ENSG00000185215; ENSG00000127329; ENSG00000213853; ENSG00000102760; ENSG00000116016; ENSG00000139567; ENSG00000073756; ENSG00000103811; ENSG00000122679; ENSG00000128342; ENSG00000105538	493	492
4.078780569e-09	2.65120736985e-07	GO:0065008	b	2	regulation of biological quality	2; 54; 94; 177; 659; 920; 1440; 1512; 5743; 2013; 2034; 2264; 3082; 3383; 3976; 4481; 4792; 4973; 5583; 5768; 6347; 6376; 7538; 8692; 9351; 9476; 23499; 10497; 10577; 79888; 7035; 80223; 81606; 83849; 650; 53905; 90952; 23250; 23348; 57572; 28231; 130271	ENSG00000173391; ENSG00000160867; ENSG00000175899; ENSG00000213853; ENSG00000139567; ENSG00000073756; ENSG00000130158; ENSG00000103811; ENSG00000027075; ENSG00000102575; ENSG00000108691; ENSG00000152527; ENSG00000019991; ENSG00000006210; ENSG00000038945; ENSG00000010610; ENSG00000116016; ENSG00000131400; ENSG00000204305; ENSG00000137857; ENSG00000153395; ENSG00000068001; ENSG00000100906; ENSG00000090339; ENSG00000116260; ENSG00000065054; ENSG00000149564; ENSG00000119655; ENSG00000108342; ENSG00000128342; ENSG00000101187; ENSG00000128016; ENSG00000213626; ENSG00000088387; ENSG00000125845; ENSG00000198722; ENSG00000003436; ENSG00000068650; ENSG00000204176; ENSG00000156675; ENSG00000204217; ENSG00000127603	3431	3422
7.28145884817e-08	4.22324613194e-06	GO:0040012	b	3	regulation of locomotion	94; 177; 659; 1512; 5743; 2013; 2921; 3082; 3383; 650; 5420; 6347; 6376; 8547; 8692; 23499; 28984	ENSG00000125845; ENSG00000128567; ENSG00000090339; ENSG00000019991; ENSG00000108691; ENSG00000006210; ENSG00000142748; ENSG00000068001; ENSG00000213853; ENSG00000102760; ENSG00000163734; ENSG00000139567; ENSG00000073756; ENSG00000204305; ENSG00000103811; ENSG00000204217; ENSG00000127603	702	701
9.08760402687e-08	1.02602263381e-05	GO:0072358	b	4	cardiovascular system development	94; 659; 1512; 5743; 5787; 2013; 2034; 3082; 650; 3976; 6347; 6376; 7127; 10203; 10268; 79652; 54922; 55273; 28984	ENSG00000125845; ENSG00000166292; ENSG00000131634; ENSG00000019991; ENSG00000108691; ENSG00000006210; ENSG00000185215; ENSG00000127329; ENSG00000213853; ENSG00000064989; ENSG00000102760; ENSG00000116016; ENSG00000139567; ENSG00000073756; ENSG00000103811; ENSG00000122679; ENSG00000128342; ENSG00000204217; ENSG00000105538	898	895
9.08760402687e-08	1.02602263381e-05	GO:0072359	b	4	circulatory system development	94; 659; 1512; 5743; 5787; 2013; 2034; 3082; 650; 3976; 6347; 6376; 7127; 10203; 10268; 79652; 54922; 55273; 28984	ENSG00000125845; ENSG00000166292; ENSG00000131634; ENSG00000019991; ENSG00000108691; ENSG00000006210; ENSG00000185215; ENSG00000127329; ENSG00000213853; ENSG00000064989; ENSG00000102760; ENSG00000116016; ENSG00000139567; ENSG00000073756; ENSG00000103811; ENSG00000122679; ENSG00000128342; ENSG00000204217; ENSG00000105538	898	895
1.12749739979e-07	1.02602263381e-05	GO:2000145	b	4	regulation of cell motility	94; 659; 1512; 5743; 2013; 2921; 3082; 3383; 650; 5420; 6347; 6376; 8692; 23499; 177; 28984	ENSG00000204305; ENSG00000125845; ENSG00000128567; ENSG00000090339; ENSG00000019991; ENSG00000108691; ENSG00000006210; ENSG00000213853; ENSG00000102760; ENSG00000163734; ENSG00000139567; ENSG00000073756; ENSG00000103811; ENSG00000068001; ENSG00000204217; ENSG00000127603	637	636
1.29106992813e-07	5.9905644665e-06	GO:0051239	b	3	regulation of multicellular organismal process	54; 94; 177; 659; 920; 1440; 1512; 5743; 2013; 2034; 3082; 3383; 3601; 650; 3976; 4058; 4060; 4792; 5583; 6347; 6376; 7538; 8692; 23499; 10203; 11214; 340061; 80223; 81606; 55273; 56892; 28984	ENSG00000102575; ENSG00000064989; ENSG00000213853; ENSG00000139329; ENSG00000139567; ENSG00000073756; ENSG00000103811; ENSG00000102760; ENSG00000027075; ENSG00000108691; ENSG00000019991; ENSG00000006210; ENSG00000134470; ENSG00000176907; ENSG00000010610; ENSG00000116016; ENSG00000062524; ENSG00000128016; ENSG00000068001; ENSG00000100906; ENSG00000090339; ENSG00000184584; ENSG00000108342; ENSG00000128342; ENSG00000204305; ENSG00000213626; ENSG00000125845; ENSG00000166292; ENSG00000170776; ENSG00000156675; ENSG00000204217; ENSG00000127603	2421	2415
1.41027061913e-07	4.10388750167e-05	GO:1901342	b	5	regulation of vasculature development	94; 1512; 5743; 2013; 3082; 3976; 6347; 6376; 55273; 28984	ENSG00000108691; ENSG00000166292; ENSG00000019991; ENSG00000006210; ENSG00000213853; ENSG00000102760; ENSG00000139567; ENSG00000073756; ENSG00000128342; ENSG00000103811	216	216
2.37461440488e-07	1.72871928675e-05	GO:0051240	b	4	positive regulation of multicellular organismal process	94; 659; 920; 1440; 1512; 5743; 3082; 3383; 3601; 650; 3976; 4058; 4060; 4792; 5583; 6347; 6376; 8692; 340061; 55273; 23499; 177; 28984	ENSG00000139329; ENSG00000139567; ENSG00000073756; ENSG00000103811; ENSG00000027075; ENSG00000108691; ENSG00000019991; ENSG00000006210; ENSG00000134470; ENSG00000102760; ENSG00000010610; ENSG00000062524; ENSG00000204305; ENSG00000068001; ENSG00000100906; ENSG00000090339; ENSG00000184584; ENSG00000108342; ENSG00000128342; ENSG00000125845; ENSG00000166292; ENSG00000204217; ENSG00000127603	1375	1373
3.0115966955e-07	6.02319339099e-06	GO:0071944	c	2	cell periphery	21; 94; 177; 659; 920; 5743; 5787; 2013; 2264; 3383; 3601; 4058; 4481; 4739; 4792; 4973; 5420; 5583; 6376; 6578; 7127; 8436; 8685; 8692; 9052; 9351; 23499; 10203; 10268; 10497; 340061; 79652; 7035; 56241; 83849; 650; 85409; 53905; 90952; 55273; 23221; 23250; 27075; 27173; 28231; 160622; 64116; 130271	ENSG00000173391; ENSG00000106537; ENSG00000073756; ENSG00000064989; ENSG00000013588; ENSG00000213853; ENSG00000139567; ENSG00000160867; ENSG00000167972; ENSG00000099994; ENSG00000027075; ENSG00000184584; ENSG00000152527; ENSG00000038945; ENSG00000006210; ENSG00000185215; ENSG00000134470; ENSG00000008853; ENSG00000111859; ENSG00000010610; ENSG00000168497; ENSG00000062524; ENSG00000204305; ENSG00000122679; ENSG00000068001; ENSG00000100906; ENSG00000090339; ENSG00000145506; ENSG00000065054; ENSG00000149564; ENSG00000161835; ENSG00000143570; ENSG00000101187; ENSG00000019169; ENSG00000125845; ENSG00000166292; ENSG00000128567; ENSG00000137857; ENSG00000198722; ENSG00000127329; ENSG00000204176; ENSG00000174640; ENSG00000003436; ENSG00000068650; ENSG00000131634; ENSG00000138821; ENSG00000204217; ENSG00000127603	4967	4914
4.23709326959e-07	4.50796543054e-05	GO:0048875	b	5	chemical homeostasis within a tissue	1512; 2034; 9476; 79888	ENSG00000103811; ENSG00000116016; ENSG00000153395; ENSG00000131400	13	13
4.6473870418e-07	4.50796543054e-05	GO:0045597	b	5	positive regulation of cell differentiation	94; 659; 1440; 5743; 3082; 3601; 650; 3976; 4058; 4481; 5583; 6376; 55273; 23499; 177; 28984; 92304	ENSG00000204305; ENSG00000125845; ENSG00000166292; ENSG00000019991; ENSG00000006210; ENSG00000134470; ENSG00000161055; ENSG00000038945; ENSG00000102760; ENSG00000139567; ENSG00000073756; ENSG00000108342; ENSG00000062524; ENSG00000128342; ENSG00000027075; ENSG00000204217; ENSG00000127603	799	799
5.24422961236e-07	3.18149929817e-05	GO:0051270	b	4	regulation of cellular component movement	94; 659; 1512; 5743; 2013; 2921; 3082; 3383; 650; 5420; 6347; 6376; 8692; 23499; 177; 28984	ENSG00000204305; ENSG00000125845; ENSG00000128567; ENSG00000090339; ENSG00000019991; ENSG00000108691; ENSG00000006210; ENSG00000213853; ENSG00000102760; ENSG00000163734; ENSG00000139567; ENSG00000073756; ENSG00000103811; ENSG00000068001; ENSG00000204217; ENSG00000127603	714	713
7.48986816448e-07	5.44887908966e-05	GO:0045765	b	5	regulation of angiogenesis	94; 1512; 5743; 2013; 3082; 3976; 6347; 6376; 28984	ENSG00000108691; ENSG00000019991; ENSG00000006210; ENSG00000213853; ENSG00000102760; ENSG00000139567; ENSG00000073756; ENSG00000128342; ENSG00000103811	199	199
8.81327317615e-07	3.40779896145e-05	GO:0009611	b	3	response to wounding	2; 54; 94; 177; 5743; 3082; 4973; 5583; 6347; 6376; 7538; 8692; 23499; 10203; 7035; 81606; 90952; 23348; 57572	ENSG00000088387; ENSG00000108691; ENSG00000173391; ENSG00000128016; ENSG00000102575; ENSG00000019991; ENSG00000064989; ENSG00000006210; ENSG00000068001; ENSG00000149564; ENSG00000175899; ENSG00000130158; ENSG00000139567; ENSG00000073756; ENSG00000003436; ENSG00000204305; ENSG00000027075; ENSG00000213626; ENSG00000127603	1041	1038
1.02737993964e-06	3.33898480383e-05	GO:0048646	b	2	anatomical structure formation involved in morphogenesis	94; 659; 1512; 5743; 5787; 2013; 2034; 3082; 3976; 5420; 6347; 6376; 7127; 23499; 10203; 10268; 54922; 55273; 28984; 92304	ENSG00000108691; ENSG00000166292; ENSG00000128567; ENSG00000019991; ENSG00000064989; ENSG00000006210; ENSG00000185215; ENSG00000105538; ENSG00000161055; ENSG00000127329; ENSG00000213853; ENSG00000102760; ENSG00000116016; ENSG00000139567; ENSG00000073756; ENSG00000103811; ENSG00000122679; ENSG00000128342; ENSG00000204217; ENSG00000127603	1156	1155
1.12834136689e-06	5.86737510782e-05	GO:0010632	b	4	regulation of epithelial cell migration	94; 659; 1512; 5743; 2013; 23499; 177; 28984	ENSG00000213853; ENSG00000102760; ENSG00000139567; ENSG00000073756; ENSG00000103811; ENSG00000204305; ENSG00000204217; ENSG00000127603	154	154
1.30749328785e-06	1.74332438379e-05	GO:0005886	c	2	plasma membrane	21; 94; 177; 659; 920; 5743; 5787; 2013; 2264; 3383; 3601; 4058; 4481; 4792; 4973; 5420; 5583; 6376; 6578; 8436; 8685; 8692; 9052; 9351; 23499; 10203; 10268; 10497; 340061; 79652; 7035; 56241; 83849; 650; 85409; 53905; 90952; 55273; 23221; 23250; 27075; 27173; 28231; 160622; 64116; 130271	ENSG00000173391; ENSG00000106537; ENSG00000073756; ENSG00000064989; ENSG00000013588; ENSG00000213853; ENSG00000139567; ENSG00000160867; ENSG00000167972; ENSG00000099994; ENSG00000027075; ENSG00000184584; ENSG00000152527; ENSG00000198722; ENSG00000006210; ENSG00000134470; ENSG00000008853; ENSG00000038945; ENSG00000010610; ENSG00000168497; ENSG00000062524; ENSG00000019169; ENSG00000122679; ENSG00000068001; ENSG00000100906; ENSG00000090339; ENSG00000145506; ENSG00000065054; ENSG00000149564; ENSG00000161835; ENSG00000143570; ENSG00000101187; ENSG00000204305; ENSG00000125845; ENSG00000166292; ENSG00000128567; ENSG00000137857; ENSG00000127329; ENSG00000204176; ENSG00000174640; ENSG00000003436; ENSG00000068650; ENSG00000131634; ENSG00000138821; ENSG00000204217; ENSG00000127603	4864	4811
1.707443863e-06	5.65895680308e-05	GO:0032879	b	3	regulation of localization	94; 177; 659; 1440; 1512; 5743; 2013; 2921; 3082; 3383; 3429; 650; 3976; 4481; 4792; 5420; 6347; 6376; 8692; 23499; 10268; 10497; 340061; 80223; 83849; 85409; 56892; 27075; 28984	ENSG00000106537; ENSG00000165949; ENSG00000213853; ENSG00000163734; ENSG00000139567; ENSG00000073756; ENSG00000103811; ENSG00000108691; ENSG00000019991; ENSG00000006210; ENSG00000102760; ENSG00000038945; ENSG00000176907; ENSG00000204305; ENSG00000122679; ENSG00000068001; ENSG00000100906; ENSG00000090339; ENSG00000145506; ENSG00000184584; ENSG00000108342; ENSG00000128342; ENSG00000125845; ENSG00000128567; ENSG00000198722; ENSG00000204176; ENSG00000156675; ENSG00000204217; ENSG00000127603	2301	2295
1.73777558571e-06	7.90687891498e-05	GO:0044057	b	4	regulation of system process	659; 5743; 2013; 2034; 3082; 3383; 3976; 6376; 10203; 11214; 80223; 55273	ENSG00000166292; ENSG00000090339; ENSG00000019991; ENSG00000064989; ENSG00000006210; ENSG00000213853; ENSG00000116016; ENSG00000073756; ENSG00000128342; ENSG00000156675; ENSG00000170776; ENSG00000204217	431	430
1.91816808207e-06	4.15603084449e-05	GO:0044707	b	2	single-multicellular organism process	2; 54; 94; 177; 659; 920; 1440; 1512; 5743; 5787; 2013; 2034; 3082; 3383; 3601; 3976; 4058; 4060; 4481; 4792; 4973; 5420; 5583; 6347; 6376; 6439; 6440; 7127; 7538; 729238; 8692; 9351; 9476; 23499; 10203; 10268; 10497; 11214; 340061; 79652; 79888; 7035; 80223; 81606; 650; 53905; 90952; 54922; 55273; 23348; 23670; 56892; 57572; 27173; 28984; 653509	ENSG00000173391; ENSG00000102575; ENSG00000064989; ENSG00000175899; ENSG00000213853; ENSG00000139329; ENSG00000139567; ENSG00000073756; ENSG00000130158; ENSG00000103811; ENSG00000102760; ENSG00000027075; ENSG00000088387; ENSG00000184584; ENSG00000108691; ENSG00000019991; ENSG00000006210; ENSG00000185215; ENSG00000134470; ENSG00000176907; ENSG00000168878; ENSG00000038945; ENSG00000010610; ENSG00000116016; ENSG00000131400; ENSG00000143570; ENSG00000062524; ENSG00000204305; ENSG00000122679; ENSG00000153395; ENSG00000068001; ENSG00000100906; ENSG00000090339; ENSG00000065054; ENSG00000149564; ENSG00000185303; ENSG00000135048; ENSG00000108342; ENSG00000128342; ENSG00000128016; ENSG00000213626; ENSG00000125845; ENSG00000166292; ENSG00000128567; ENSG00000137857; ENSG00000105538; ENSG00000198722; ENSG00000170776; ENSG00000127329; ENSG00000122852; ENSG00000168484; ENSG00000003436; ENSG00000131634; ENSG00000156675; ENSG00000204217; ENSG00000127603	6658	6629
2.26017090322e-06	0.000131541946567	GO:0051272	b	5	positive regulation of cellular component movement	659; 1512; 5743; 2921; 3082; 3383; 650; 5420; 6347; 6376; 177	ENSG00000125845; ENSG00000128567; ENSG00000090339; ENSG00000019991; ENSG00000006210; ENSG00000163734; ENSG00000108691; ENSG00000073756; ENSG00000103811; ENSG00000204305; ENSG00000204217	365	364
2.7694382505e-06	0.000104086971128	GO:0006954	b	4	inflammatory response	2; 54; 5743; 2921; 3383; 650; 4973; 6347; 6376; 7538; 8692; 10203; 177; 64332	ENSG00000125845; ENSG00000173391; ENSG00000090339; ENSG00000102575; ENSG00000108691; ENSG00000064989; ENSG00000006210; ENSG00000175899; ENSG00000163734; ENSG00000073756; ENSG00000128016; ENSG00000144802; ENSG00000068001; ENSG00000204305	625	621
2.85953217385e-06	0.000104086971128	GO:0040017	b	4	positive regulation of locomotion	659; 1512; 5743; 2921; 3082; 3383; 650; 5420; 6347; 6376; 177	ENSG00000125845; ENSG00000128567; ENSG00000090339; ENSG00000019991; ENSG00000006210; ENSG00000163734; ENSG00000108691; ENSG00000073756; ENSG00000103811; ENSG00000204305; ENSG00000204217	374	373
2.86701971283e-06	0.000139050456072	GO:0008284	b	5	positive regulation of cell proliferation	94; 659; 994; 1440; 1512; 5743; 2013; 2264; 3082; 650; 3976; 5583; 6347; 6376; 10203; 177	ENSG00000125845; ENSG00000073756; ENSG00000160867; ENSG00000108691; ENSG00000006210; ENSG00000019991; ENSG00000027075; ENSG00000213853; ENSG00000064989; ENSG00000139567; ENSG00000101224; ENSG00000108342; ENSG00000103811; ENSG00000128342; ENSG00000204217; ENSG00000204305	819	812
3.86989977814e-06	0.000107202911303	GO:0048583	b	3	regulation of response to stimulus	2; 54; 94; 177; 659; 920; 1440; 1512; 5743; 2013; 2264; 2921; 3082; 3383; 650; 3976; 4792; 5583; 5768; 6347; 6376; 7538; 8547; 8685; 8692; 23499; 10203; 10268; 11214; 340061; 79652; 81606; 85409; 55273; 23221; 56892; 28984	ENSG00000160867; ENSG00000064989; ENSG00000175899; ENSG00000213853; ENSG00000163734; ENSG00000139567; ENSG00000073756; ENSG00000103811; ENSG00000102760; ENSG00000027075; ENSG00000102575; ENSG00000108691; ENSG00000019991; ENSG00000006210; ENSG00000019169; ENSG00000176907; ENSG00000010610; ENSG00000204305; ENSG00000122679; ENSG00000068001; ENSG00000100906; ENSG00000090339; ENSG00000116260; ENSG00000145506; ENSG00000184584; ENSG00000108342; ENSG00000128342; ENSG00000128016; ENSG00000213626; ENSG00000125845; ENSG00000166292; ENSG00000170776; ENSG00000142748; ENSG00000008853; ENSG00000131634; ENSG00000204217; ENSG00000127603	3565	3546
4.15873362814e-06	0.000107202911303	GO:0016477	b	3	cell migration	94; 177; 659; 1512; 5743; 2013; 2264; 2921; 3082; 3383; 650; 4973; 5420; 6347; 6376; 8692; 23499; 90952; 28984	ENSG00000125845; ENSG00000173391; ENSG00000128567; ENSG00000090339; ENSG00000160867; ENSG00000019991; ENSG00000108691; ENSG00000006210; ENSG00000149564; ENSG00000068001; ENSG00000213853; ENSG00000102760; ENSG00000163734; ENSG00000139567; ENSG00000073756; ENSG00000204305; ENSG00000103811; ENSG00000204217; ENSG00000127603	1157	1153
4.21592189344e-06	0.000193932407098	GO:0019955	m	3	cytokine binding	2; 94; 177; 659; 7538; 8692	ENSG00000128016; ENSG00000175899; ENSG00000139567; ENSG00000204305; ENSG00000068001; ENSG00000204217	84	84
