p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
3.27847890793e-49	1.63923945397e-47	GO:0043292	c	4	contractile fiber	58; 88; 226; 274; 487; 825; 844; 2275; 2318; 4604; 4619; 4620; 4632; 4703; 4892; 202333; 6261; 6840; 7125; 7135; 7136; 7138; 7140; 7170; 7273; 9499; 9659; 114907; 7169; 171024; 84033; 84448; 84676; 219537; 56704; 27295; 10324; 29765; 29895	ENSG00000197893; ENSG00000105048; ENSG00000120729; ENSG00000197321; ENSG00000214872; ENSG00000159173; ENSG00000172403; ENSG00000154553; ENSG00000163157; ENSG00000109061; ENSG00000130598; ENSG00000156804; ENSG00000136717; ENSG00000143549; ENSG00000164309; ENSG00000104369; ENSG00000183091; ENSG00000196218; ENSG00000196091; ENSG00000198467; ENSG00000092529; ENSG00000128591; ENSG00000077522; ENSG00000180209; ENSG00000143318; ENSG00000158022; ENSG00000125414; ENSG00000196296; ENSG00000183386; ENSG00000168530; ENSG00000155657; ENSG00000239474; ENSG00000163995; ENSG00000154358; ENSG00000178104; ENSG00000101470; ENSG00000149925; ENSG00000143632; ENSG00000130595	222	164
1.4989085127e-48	2.39825362032e-47	GO:0030016	c	5	myofibril	58; 88; 226; 274; 487; 825; 844; 2275; 2318; 4604; 4619; 4620; 4632; 4703; 4892; 6261; 6840; 7125; 7135; 7136; 7138; 7140; 7170; 7273; 9499; 9659; 114907; 7169; 171024; 202333; 84033; 84448; 84676; 219537; 56704; 27295; 10324; 29765	ENSG00000197893; ENSG00000105048; ENSG00000120729; ENSG00000197321; ENSG00000214872; ENSG00000159173; ENSG00000172403; ENSG00000154553; ENSG00000163157; ENSG00000130595; ENSG00000130598; ENSG00000156804; ENSG00000136717; ENSG00000143549; ENSG00000164309; ENSG00000104369; ENSG00000183091; ENSG00000196218; ENSG00000196091; ENSG00000198467; ENSG00000092529; ENSG00000128591; ENSG00000077522; ENSG00000143318; ENSG00000158022; ENSG00000125414; ENSG00000196296; ENSG00000183386; ENSG00000168530; ENSG00000155657; ENSG00000239474; ENSG00000163995; ENSG00000154358; ENSG00000178104; ENSG00000101470; ENSG00000149925; ENSG00000143632; ENSG00000109061	210	154
8.72086076683e-44	3.22671848373e-42	GO:0044449	c	2	contractile fiber part	58; 88; 226; 274; 487; 825; 844; 2275; 2318; 4619; 4620; 4632; 4703; 202333; 6261; 6840; 7125; 7135; 7136; 7138; 7140; 7170; 7273; 9499; 171024; 84033; 84676; 219537; 56704; 114907; 27295; 7169; 10324; 29765; 29895	ENSG00000105048; ENSG00000120729; ENSG00000197321; ENSG00000214872; ENSG00000159173; ENSG00000172403; ENSG00000154553; ENSG00000163157; ENSG00000130595; ENSG00000130598; ENSG00000156804; ENSG00000136717; ENSG00000143549; ENSG00000164309; ENSG00000104369; ENSG00000183091; ENSG00000196218; ENSG00000198467; ENSG00000092529; ENSG00000128591; ENSG00000077522; ENSG00000180209; ENSG00000143318; ENSG00000158022; ENSG00000125414; ENSG00000196296; ENSG00000183386; ENSG00000168530; ENSG00000155657; ENSG00000239474; ENSG00000154358; ENSG00000101470; ENSG00000149925; ENSG00000143632; ENSG00000109061	203	148
8.04213528719e-42	4.74485981944e-40	GO:0030017	c	3	sarcomere	58; 88; 226; 274; 487; 825; 844; 2275; 2318; 4619; 4620; 4632; 4703; 202333; 6261; 7125; 7135; 7136; 7138; 7140; 7170; 7273; 9499; 7169; 171024; 84033; 84676; 219537; 56704; 114907; 27295; 10324; 29765	ENSG00000105048; ENSG00000120729; ENSG00000214872; ENSG00000159173; ENSG00000172403; ENSG00000154553; ENSG00000163157; ENSG00000130595; ENSG00000130598; ENSG00000156804; ENSG00000136717; ENSG00000143549; ENSG00000164309; ENSG00000104369; ENSG00000183091; ENSG00000196218; ENSG00000198467; ENSG00000092529; ENSG00000128591; ENSG00000077522; ENSG00000143318; ENSG00000158022; ENSG00000125414; ENSG00000196296; ENSG00000183386; ENSG00000168530; ENSG00000155657; ENSG00000239474; ENSG00000154358; ENSG00000101470; ENSG00000149925; ENSG00000143632; ENSG00000109061	185	134
8.99945824311e-29	1.48491061011e-26	GO:0006936	b	5	muscle contraction	58; 88; 226; 487; 844; 1140; 4604; 4606; 4619; 4620; 4632; 4703; 6261; 7125; 7135; 7136; 7138; 7140; 7170; 7273; 9499; 7169; 246329; 84676; 126393; 10324; 29765; 29895	ENSG00000105048; ENSG00000163157; ENSG00000159173; ENSG00000130595; ENSG00000130598; ENSG00000143549; ENSG00000183091; ENSG00000196218; ENSG00000196091; ENSG00000143632; ENSG00000120729; ENSG00000077522; ENSG00000180209; ENSG00000170175; ENSG00000143318; ENSG00000185482; ENSG00000125414; ENSG00000196296; ENSG00000168530; ENSG00000155657; ENSG00000239474; ENSG00000158022; ENSG00000101470; ENSG00000149925; ENSG00000004776; ENSG00000198467; ENSG00000086967; ENSG00000109061	293	187
2.96882564623e-27	7.51112888497e-25	GO:0003012	b	4	muscle system process	58; 88; 226; 487; 844; 1140; 4604; 4606; 4619; 4620; 4632; 4703; 6261; 6588; 7125; 7135; 7136; 7138; 7140; 7170; 7273; 9499; 7169; 246329; 84676; 126393; 10324; 29765; 29895	ENSG00000105048; ENSG00000101470; ENSG00000159173; ENSG00000163157; ENSG00000130595; ENSG00000130598; ENSG00000143549; ENSG00000183091; ENSG00000196218; ENSG00000196091; ENSG00000198467; ENSG00000120729; ENSG00000077522; ENSG00000180209; ENSG00000170175; ENSG00000143318; ENSG00000185482; ENSG00000125414; ENSG00000196296; ENSG00000168530; ENSG00000155657; ENSG00000239474; ENSG00000158022; ENSG00000170290; ENSG00000149925; ENSG00000004776; ENSG00000143632; ENSG00000086967; ENSG00000109061	353	236
7.10439412811e-23	2.09579626779e-21	GO:0031674	c	3	I band	88; 226; 274; 487; 825; 844; 2275; 2318; 4703; 6261; 7273; 9499; 171024; 84033; 84676; 219537; 56704; 114907; 27295	ENSG00000154358; ENSG00000158022; ENSG00000183091; ENSG00000196218; ENSG00000196296; ENSG00000214872; ENSG00000128591; ENSG00000092529; ENSG00000149925; ENSG00000183386; ENSG00000104369; ENSG00000172403; ENSG00000154553; ENSG00000077522; ENSG00000156804; ENSG00000136717; ENSG00000143318; ENSG00000120729; ENSG00000155657	127	87
2.30795225183e-22	1.84636180146e-21	GO:0015629	c	5	actin cytoskeleton	58; 88; 226; 274; 2275; 4604; 4606; 4619; 4620; 4632; 4703; 5236; 6840; 7125; 7135; 7136; 7138; 7140; 7170; 7273; 9499; 7169; 171024; 84448; 84940; 58529; 27295; 29765; 29895	ENSG00000105048; ENSG00000163157; ENSG00000197321; ENSG00000159173; ENSG00000172403; ENSG00000154553; ENSG00000130595; ENSG00000130598; ENSG00000136717; ENSG00000143549; ENSG00000183091; ENSG00000196091; ENSG00000143632; ENSG00000079739; ENSG00000120729; ENSG00000077522; ENSG00000180209; ENSG00000177791; ENSG00000125414; ENSG00000167549; ENSG00000183386; ENSG00000168530; ENSG00000155657; ENSG00000163995; ENSG00000101470; ENSG00000149925; ENSG00000198467; ENSG00000086967; ENSG00000109061	444	348
2.95516940044e-21	9.75205902144e-20	GO:0008092	m	3	cytoskeletal protein binding	58; 88; 226; 274; 825; 2275; 2318; 2597; 4604; 4606; 4619; 4620; 4703; 4892; 6249; 6840; 7125; 7135; 7136; 7138; 7140; 7170; 7273; 9499; 7169; 171024; 84033; 84448; 84676; 84940; 122622; 58529; 27295; 29765	ENSG00000197893; ENSG00000105048; ENSG00000120729; ENSG00000197321; ENSG00000159173; ENSG00000111640; ENSG00000172403; ENSG00000154553; ENSG00000163157; ENSG00000130595; ENSG00000130598; ENSG00000136717; ENSG00000143549; ENSG00000183091; ENSG00000196091; ENSG00000198467; ENSG00000092529; ENSG00000128591; ENSG00000077522; ENSG00000177791; ENSG00000158022; ENSG00000125414; ENSG00000167549; ENSG00000130779; ENSG00000183386; ENSG00000155657; ENSG00000163995; ENSG00000154358; ENSG00000101470; ENSG00000149925; ENSG00000143632; ENSG00000185100; ENSG00000086967; ENSG00000109061	804	586
2.22234080931e-20	1.83343116768e-18	GO:0070252	b	5	actin-mediated cell contraction	58; 88; 4604; 4606; 4620; 4632; 4703; 7125; 7135; 7136; 7138; 7140; 7170; 7273; 7169	ENSG00000183091; ENSG00000125414; ENSG00000196091; ENSG00000130598; ENSG00000198467; ENSG00000101470; ENSG00000159173; ENSG00000105048; ENSG00000168530; ENSG00000143632; ENSG00000077522; ENSG00000086967; ENSG00000155657; ENSG00000143549; ENSG00000130595	62	51
