p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
6.92417279481e-27	2.04263097447e-24	GO:0007268	b	4	synaptic transmission	784; 808; 1742; 1759; 1960; 3706; 3798; 801; 4905; 5413; 5530; 5864; 6616; 6620; 6804; 7532; 7533; 8448; 8514; 8938; 9148; 9256; 9495; 9751; 10769; 10815; 83988; 84254; 57030; 9783; 26012; 63908	ENSG00000168993; ENSG00000104888; ENSG00000132639; ENSG00000117016; ENSG00000073969; ENSG00000106089; ENSG00000184702; ENSG00000125814; ENSG00000106976; ENSG00000004660; ENSG00000074317; ENSG00000101298; ENSG00000198668; ENSG00000138814; ENSG00000155980; ENSG00000007516; ENSG00000160014; ENSG00000105649; ENSG00000179841; ENSG00000104490; ENSG00000165802; ENSG00000005379; ENSG00000107954; ENSG00000137825; ENSG00000069424; ENSG00000145632; ENSG00000149927; ENSG00000132535; ENSG00000167535; ENSG00000128245; ENSG00000179388; ENSG00000170027	729	321
1.05949725303e-26	5.72128516634e-25	GO:0097458	c	2	neuron part	490; 1742; 1759; 1917; 2039; 2778; 3706; 3925; 4130; 4131; 4905; 5058; 5413; 5864; 6616; 6712; 6804; 7070; 7345; 8448; 8507; 8514; 9148; 9495; 9751; 9900; 10409; 10769; 10815; 11075; 11178; 11346; 23413; 50861; 8851; 55450; 57030; 9783; 26012; 192683; 29993	ENSG00000131711; ENSG00000198794; ENSG00000168993; ENSG00000104888; ENSG00000132639; ENSG00000117016; ENSG00000073969; ENSG00000106089; ENSG00000087460; ENSG00000158856; ENSG00000101210; ENSG00000176749; ENSG00000154096; ENSG00000106976; ENSG00000173898; ENSG00000176788; ENSG00000159164; ENSG00000149269; ENSG00000101298; ENSG00000104435; ENSG00000184702; ENSG00000105649; ENSG00000179841; ENSG00000162545; ENSG00000165802; ENSG00000124507; ENSG00000061337; ENSG00000197457; ENSG00000107954; ENSG00000171992; ENSG00000137825; ENSG00000069424; ENSG00000145632; ENSG00000154277; ENSG00000166963; ENSG00000149927; ENSG00000117632; ENSG00000132535; ENSG00000070961; ENSG00000107130; ENSG00000171617	1179	663
9.2634774297e-24	1.79711462136e-21	GO:0007267	b	3	cell-cell signaling	784; 808; 1742; 1759; 1960; 2778; 3706; 3708; 3798; 801; 4905; 5413; 5530; 5575; 5864; 6616; 6620; 6804; 7532; 7533; 8448; 8514; 8938; 9148; 9256; 9495; 9751; 10769; 10815; 11069; 83988; 84254; 57030; 9783; 26012; 63908	ENSG00000168993; ENSG00000104888; ENSG00000132639; ENSG00000117016; ENSG00000073969; ENSG00000004660; ENSG00000106089; ENSG00000087460; ENSG00000160014; ENSG00000125814; ENSG00000150995; ENSG00000106976; ENSG00000091428; ENSG00000188191; ENSG00000074317; ENSG00000101298; ENSG00000198668; ENSG00000138814; ENSG00000155980; ENSG00000007516; ENSG00000184702; ENSG00000105649; ENSG00000179841; ENSG00000104490; ENSG00000165802; ENSG00000005379; ENSG00000107954; ENSG00000137825; ENSG00000069424; ENSG00000145632; ENSG00000149927; ENSG00000132535; ENSG00000167535; ENSG00000128245; ENSG00000179388; ENSG00000170027	1238	559
9.51805756353e-22	6.09155684066e-20	GO:0043005	c	3	neuron projection	490; 1742; 2778; 3706; 3925; 4131; 4905; 5058; 5413; 5864; 6616; 6804; 7070; 7345; 8448; 8514; 9148; 9495; 9751; 9900; 10409; 10769; 10815; 11075; 11178; 11346; 23413; 50861; 8851; 55450; 57030; 26012; 29993	ENSG00000131711; ENSG00000168993; ENSG00000104888; ENSG00000132639; ENSG00000073969; ENSG00000106089; ENSG00000087460; ENSG00000176749; ENSG00000154096; ENSG00000176788; ENSG00000159164; ENSG00000149269; ENSG00000101298; ENSG00000104435; ENSG00000184702; ENSG00000105649; ENSG00000179841; ENSG00000162545; ENSG00000165802; ENSG00000124507; ENSG00000061337; ENSG00000197457; ENSG00000107954; ENSG00000171992; ENSG00000137825; ENSG00000069424; ENSG00000145632; ENSG00000154277; ENSG00000149927; ENSG00000117632; ENSG00000132535; ENSG00000070961; ENSG00000107130	896	509
7.93380467905e-18	1.17023619016e-15	GO:0031175	b	4	neuron projection development	784; 1123; 1742; 1759; 2051; 3706; 3798; 3925; 4131; 5058; 5530; 5864; 6616; 6712; 7070; 7345; 7533; 8507; 8997; 9148; 9495; 10769; 11075; 11178; 116986; 23413; 50861; 8851; 57118; 26012; 29993	ENSG00000131711; ENSG00000160145; ENSG00000106123; ENSG00000132639; ENSG00000176749; ENSG00000154096; ENSG00000106976; ENSG00000173898; ENSG00000135439; ENSG00000149269; ENSG00000138814; ENSG00000155980; ENSG00000105649; ENSG00000179841; ENSG00000165802; ENSG00000124507; ENSG00000061337; ENSG00000128656; ENSG00000183049; ENSG00000107954; ENSG00000197457; ENSG00000137825; ENSG00000145632; ENSG00000154277; ENSG00000104435; ENSG00000117632; ENSG00000132535; ENSG00000107130; ENSG00000167535; ENSG00000128245; ENSG00000171617	907	585
5.03225688643e-17	1.09199974436e-14	GO:0030182	b	5	neuron differentiation	784; 1123; 1742; 1759; 2051; 3706; 3798; 3925; 4131; 5058; 5530; 5662; 5864; 6252; 6616; 6712; 7070; 7345; 7532; 7533; 8507; 8997; 9148; 9495; 10769; 11075; 11178; 23413; 50861; 116986; 8851; 57118; 26012; 29993	ENSG00000131711; ENSG00000160145; ENSG00000106123; ENSG00000132639; ENSG00000176749; ENSG00000154096; ENSG00000106976; ENSG00000173898; ENSG00000135439; ENSG00000149269; ENSG00000138814; ENSG00000155980; ENSG00000139970; ENSG00000105649; ENSG00000059915; ENSG00000179841; ENSG00000165802; ENSG00000124507; ENSG00000061337; ENSG00000128656; ENSG00000183049; ENSG00000167535; ENSG00000107954; ENSG00000197457; ENSG00000137825; ENSG00000145632; ENSG00000154277; ENSG00000104435; ENSG00000117632; ENSG00000132535; ENSG00000107130; ENSG00000170027; ENSG00000128245; ENSG00000171617	1296	779
5.33983581828e-17	1.44175567093e-15	GO:0042995	c	2	cell projection	490; 1742; 2039; 2778; 3706; 3797; 3925; 4130; 4131; 4905; 5058; 5413; 5575; 5662; 5864; 6616; 6804; 7070; 7345; 8448; 8514; 8525; 9148; 9495; 9751; 9900; 10409; 10769; 10815; 11075; 11178; 11346; 23413; 50861; 8851; 55450; 57030; 26012; 29993	ENSG00000131711; ENSG00000168993; ENSG00000104888; ENSG00000132639; ENSG00000073969; ENSG00000106089; ENSG00000087460; ENSG00000158856; ENSG00000176749; ENSG00000154096; ENSG00000176788; ENSG00000159164; ENSG00000149269; ENSG00000188191; ENSG00000101298; ENSG00000104435; ENSG00000184702; ENSG00000105649; ENSG00000059915; ENSG00000179841; ENSG00000162545; ENSG00000165802; ENSG00000124507; ENSG00000061337; ENSG00000149091; ENSG00000084731; ENSG00000197457; ENSG00000107954; ENSG00000171992; ENSG00000137825; ENSG00000069424; ENSG00000145632; ENSG00000154277; ENSG00000166963; ENSG00000149927; ENSG00000117632; ENSG00000132535; ENSG00000070961; ENSG00000107130	1769	1072
1.5142857603e-16	1.48904766429e-14	GO:0048666	b	4	neuron development	784; 1123; 1742; 1759; 2051; 3706; 3798; 3925; 4131; 5058; 5530; 5864; 6616; 6712; 7070; 7345; 7533; 8507; 8997; 9148; 9495; 10769; 11075; 11178; 116986; 23413; 50861; 8851; 57118; 26012; 29993	ENSG00000131711; ENSG00000160145; ENSG00000106123; ENSG00000132639; ENSG00000176749; ENSG00000154096; ENSG00000106976; ENSG00000173898; ENSG00000135439; ENSG00000149269; ENSG00000138814; ENSG00000155980; ENSG00000105649; ENSG00000179841; ENSG00000165802; ENSG00000124507; ENSG00000061337; ENSG00000128656; ENSG00000183049; ENSG00000107954; ENSG00000197457; ENSG00000137825; ENSG00000145632; ENSG00000154277; ENSG00000104435; ENSG00000117632; ENSG00000132535; ENSG00000107130; ENSG00000167535; ENSG00000128245; ENSG00000171617	1042	649
2.3009673411e-16	1.69696341406e-14	GO:0007399	b	4	nervous system development	490; 784; 808; 1123; 1742; 1759; 1960; 2051; 3706; 3798; 3925; 4131; 801; 4900; 5058; 5274; 5530; 5662; 5864; 6252; 6616; 6712; 7070; 7345; 7532; 7533; 8448; 8507; 8997; 9148; 9495; 10409; 10769; 11075; 11178; 116986; 23413; 50861; 8851; 57118; 26012; 29993	ENSG00000131711; ENSG00000160145; ENSG00000106123; ENSG00000132639; ENSG00000163536; ENSG00000176749; ENSG00000154096; ENSG00000106976; ENSG00000173898; ENSG00000176788; ENSG00000135439; ENSG00000149269; ENSG00000154146; ENSG00000198668; ENSG00000138814; ENSG00000155980; ENSG00000139970; ENSG00000160014; ENSG00000105649; ENSG00000059915; ENSG00000179841; ENSG00000165802; ENSG00000124507; ENSG00000061337; ENSG00000128656; ENSG00000183049; ENSG00000107954; ENSG00000197457; ENSG00000171617; ENSG00000137825; ENSG00000145632; ENSG00000154277; ENSG00000149927; ENSG00000104435; ENSG00000117632; ENSG00000132535; ENSG00000070961; ENSG00000107130; ENSG00000170027; ENSG00000128245; ENSG00000179388; ENSG00000167535	2190	1318
4.37794415151e-16	7.88029947271e-15	GO:0014069	c	2	postsynaptic density	1742; 2039; 3708; 4130; 4131; 4905; 5058; 8514; 9148; 9495; 11178; 11346; 23413; 8851; 55450; 26012	ENSG00000131711; ENSG00000107954; ENSG00000150995; ENSG00000171992; ENSG00000179841; ENSG00000069424; ENSG00000166963; ENSG00000165802; ENSG00000132535; ENSG00000073969; ENSG00000149269; ENSG00000061337; ENSG00000162545; ENSG00000107130; ENSG00000158856; ENSG00000176749	183	112
