p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
8.93708417016e-08	8.40085911995e-06	GO:0048568	b	3	embryonic organ development	12591; 12606; 13813; 14462; 15902; 16691	Cebpa; Cdx2; Id2; Eomes; Krt8; Gata3	413	413
2.93167365528e-07	3.25415775736e-05	GO:0001892	b	4	embryonic placenta development	12591; 12606; 13813; 16691	Eomes; Cebpa; Cdx2; Krt8	95	95
4.22501896997e-07	1.98575891589e-05	GO:0048468	b	3	cell development	171170; 12591; 12606; 13132; 13813; 14462; 15902; 16691	Cebpa; Krt8; Cdx2; Id2; Eomes; Dab2; Mbnl3; Gata3	1440	1435
7.31627737078e-07	2.29243357618e-05	GO:0009790	b	3	embryo development	12591; 12606; 13132; 13813; 14462; 15902; 16691	Cebpa; Cdx2; Id2; Eomes; Dab2; Krt8; Gata3	1004	999
9.59015939035e-07	3.71967650699e-05	GO:0009792	b	4	embryo development ending in birth or egg hatching	12591; 12606; 13132; 13813; 14462; 16691	Cebpa; Cdx2; Eomes; Dab2; Krt8; Gata3	619	618
1.00531797486e-06	3.71967650699e-05	GO:0045595	b	4	regulation of cell differentiation	171170; 12591; 12606; 13132; 13813; 14462; 15902	Cebpa; Cdx2; Id2; Eomes; Dab2; Mbnl3; Gata3	1051	1047
1.55571415416e-06	3.65592826228e-05	GO:0001890	b	3	placenta development	12591; 12606; 13813; 16691	Eomes; Cebpa; Cdx2; Krt8	145	144
1.82519787807e-06	5.06492411164e-05	GO:0051094	b	4	positive regulation of developmental process	12591; 12606; 13132; 13813; 14462; 15902	Cebpa; Cdx2; Id2; Eomes; Dab2; Gata3	694	690
1.0530649636e-05	0.000197976213157	GO:0050793	b	3	regulation of developmental process	171170; 12591; 12606; 13132; 13813; 14462; 15902	Cebpa; Cdx2; Id2; Eomes; Dab2; Mbnl3; Gata3	1496	1486
1.55760547089e-05	0.000288157012114	GO:0030097	b	4	hemopoiesis	12606; 13132; 13813; 14462; 15902	Eomes; Dab2; Cebpa; Id2; Gata3	568	562
1.55760547089e-05	0.000288157012114	GO:0051093	b	4	negative regulation of developmental process	171170; 12591; 13813; 14462; 15902	Eomes; Id2; Mbnl3; Cdx2; Gata3	565	562
2.15419055201e-05	0.000337489853148	GO:0048534	b	3	hematopoietic or lymphoid organ development	12606; 13132; 13813; 14462; 15902	Eomes; Dab2; Cebpa; Id2; Gata3	607	601
2.16659572069e-05	0.000343560178567	GO:0030099	b	4	myeloid cell differentiation	12606; 13132; 14462; 15902	Dab2; Cebpa; Id2; Gata3	285	280
2.74247519161e-05	0.000380518432836	GO:0002285	b	4	lymphocyte activation involved in immune response	13813; 14462; 18826	Eomes; Lcp1; Gata3	96	96
2.76622158619e-05	0.000858074759956	GO:0002520	b	2	immune system development	12606; 13132; 13813; 14462; 15902	Eomes; Dab2; Cebpa; Id2; Gata3	641	633
2.92429310304e-05	0.000392690788123	GO:0048513	b	3	organ development	171170; 12591; 12606; 13132; 13813; 14462; 15902; 16691	Cebpa; Krt8; Cdx2; Id2; Eomes; Dab2; Mbnl3; Gata3	2524	2503
4.73368998594e-05	0.000556208573347	GO:0030154	b	3	cell differentiation	171170; 12591; 12606; 13132; 13813; 14462; 15902; 16691	Cebpa; Krt8; Cdx2; Id2; Eomes; Dab2; Mbnl3; Gata3	2687	2670
5.18617687721e-05	0.000155585306316	GO:0001067	m	4	regulatory region nucleic acid binding	12591; 12606; 13813; 14462	Eomes; Cebpa; Cdx2; Gata3	351	350
6.10679485421e-05	0.000753171365352	GO:0002521	b	4	leukocyte differentiation	12606; 13813; 14462; 15902	Eomes; Cebpa; Id2; Gata3	367	365
6.32792027682e-05	0.000660916117801	GO:0048469	b	3	cell maturation	12606; 14462; 15902	Cebpa; Id2; Gata3	127	127
6.64164978883e-05	0.000858074759956	GO:0007275	b	2	multicellular organismal development	171170; 12591; 12606; 13132; 13813; 14462; 15902; 16691; 195733	Cebpa; Krt8; Grhl1; Cdx2; Id2; Eomes; Dab2; Mbnl3; Gata3	3827	3794
7.07425780253e-05	0.000858074759956	GO:0009653	b	2	anatomical structure morphogenesis	12591; 12606; 13132; 13813; 14462; 15902; 16691	Cebpa; Cdx2; Id2; Eomes; Dab2; Krt8; Gata3	1996	1985
7.98209079029e-05	0.000858074759956	GO:0048869	b	2	cellular developmental process	171170; 12591; 12606; 13132; 13813; 14462; 15902; 16691	Cebpa; Krt8; Cdx2; Id2; Eomes; Dab2; Mbnl3; Gata3	2884	2865
8.27781310277e-05	0.00073151868762	GO:0002263	b	3	cell activation involved in immune response	13813; 14462; 18826	Eomes; Lcp1; Gata3	140	139
8.27781310277e-05	0.000868103477348	GO:0002366	b	4	leukocyte activation involved in immune response	13813; 14462; 18826	Eomes; Lcp1; Gata3	140	139
8.5603250679e-05	0.00073151868762	GO:0001829	b	3	trophectodermal cell differentiation	12591; 13813	Eomes; Cdx2	22	22
9.23400695989e-05	0.000868103477348	GO:0009892	b	4	negative regulation of metabolic process	12591; 12606; 13132; 13813; 14462; 15902	Cebpa; Cdx2; Id2; Eomes; Dab2; Gata3	1382	1368
9.38490245781e-05	0.000868103477348	GO:0045444	b	4	fat cell differentiation	12606; 14462; 15902	Cebpa; Id2; Gata3	146	145
0.000116579031578	0.000913202414028	GO:0051098	b	3	regulation of binding	13132; 14462; 15902	Dab2; Id2; Gata3	159	156
0.000120266793466	0.00102689339036	GO:0060706	b	4	cell differentiation involved in embryonic placenta development	13813; 16691	Eomes; Krt8	26	26
0.000136270295658	0.000985339060911	GO:0046649	b	3	lymphocyte activation	13813; 14462; 15902; 18826	Eomes; Lcp1; Id2; Gata3	453	449
0.000142909793568	0.0010861089171	GO:0034654	b	4	nucleobase-containing compound biosynthetic process	12591; 12606; 13132; 13813; 14462; 15902; 192113; 195733	Cebpa; Grhl1; Cdx2; Id2; Atp12a; Eomes; Dab2; Gata3	3127	3101
0.000150504582608	0.0010861089171	GO:0051171	b	4	regulation of nitrogen compound metabolic process	171170; 12591; 12606; 13132; 13813; 14462; 15902; 195733	Cebpa; Grhl1; Cdx2; Id2; Eomes; Dab2; Mbnl3; Gata3	3149	3123
0.000166341005322	0.0010861089171	GO:0019438	b	4	aromatic compound biosynthetic process	12591; 12606; 13132; 13813; 14462; 15902; 192113; 195733	Cebpa; Grhl1; Cdx2; Id2; Atp12a; Eomes; Dab2; Gata3	3193	3166
